trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,12,-27.067485078687483,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-67.11335941496394,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-54.975221304683174,"{0: 14, 1: 9, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-121.98871914286201,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-164.7357814926198,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-71.29076594929927,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-70.09163889348194,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-75.33326487125943,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-187.16680851619276,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-93.41476103462873,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-201.07939171162815,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-72.59827219393341,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-173.73135022293002,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-47.766196281769325,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,-1.0062518898451775,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-43.83455236996066,"{0: 28, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,-33.895392559877166,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,17,4.1533286193783745,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,20,12.329928930916891,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,14.361214202155269,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': -0.05}",20,0,-27.65489988877971,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': -0.05}",20,2,-32.137641674625236,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': -0.05}",30,5,-14.254487668725755,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': -0.05}",20,3,26.461550264352674,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': -0.05}",25,0,-100.29291512253052,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': -0.05}",20,12,16.924098738768752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': -0.05}",20,0,-24.135505553877998,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': -0.05}",25,0,-28.729588833678545,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': -0.05}",25,4,-4.921056414954249,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': -0.05}",20,0,-18.365201291068356,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
