trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.995}",20,0,-69.25599710241409,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.990025}",25,3,-152.49047879042283,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 3}",1
3,False,"{'a': 0.2, 'e': 0.985074875}",20,0,-107.87452854570518,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9801495006250001}",25,0,-151.35951124449022,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.9752487531218751}",20,0,-95.15300537404448,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9703725093562657}",30,0,-118.64528676818058,"{0: 15, 1: 5, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9655206468094844}",25,0,-148.25938399669087,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.960693043575437}",20,0,-109.18896750370646,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.9558895783575597}",25,0,-117.54280623293026,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.9511101304657719}",20,0,-149.16307431913572,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.946354579813443}",25,0,-130.71298186908925,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.9416228069143757}",25,0,-34.03867393694468,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.9369146928798039}",20,0,-59.10333984053714,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.9322301194154049}",25,8,-134.0487680859352,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.2, 'e': 0.9275689688183278}",20,8,-36.121180482697454,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.9229311239742362}",25,0,-100.03109609295574,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.918316468354365}",20,0,-63.27927662704094,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.9137248860125932}",25,0,-140.46872680165896,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.9091562615825302}",20,0,-182.01585314615087,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.2, 'e': 0.9046104802746175}",20,0,-62.63566706477951,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.9000874278732445}",25,0,-20.24137433880059,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.8955869907338783}",20,0,-118.40274042861282,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.2, 'e': 0.8911090557802088}",20,0,-88.47559727663574,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.8866535105013078}",20,0,-89.15570501073931,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.8822202429488013}",20,0,-86.90569737919071,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.8778091417340573}",30,0,-69.63138459155678,"{0: 23, 1: 2, 2: 2, 3: 3, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.8734200960253871}",20,5,-148.21043508620153,"{0: 6, 1: 1, 2: 5, 3: 1, 4: 2}",1
28,False,"{'a': 0.2, 'e': 0.8690529955452602}",20,14,2.3580619963965033,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.8647077305675338}",25,0,-83.15608823192261,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.8603841919146962}",20,0,-104.92040122314937,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.8560822709551227}",20,0,-57.39782156882244,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.2, 'e': 0.851801859600347}",25,0,-114.33975893916835,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.8475428503023453}",30,0,-220.47531477455024,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
34,False,"{'a': 0.2, 'e': 0.8433051360508336}",20,0,-187.56126136322018,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
35,False,"{'a': 0.2, 'e': 0.8390886103705794}",20,0,-50.09183269115005,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.8348931673187264}",20,0,-65.67081390396582,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.8307187014821328}",30,0,-230.91417909565956,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
38,False,"{'a': 0.2, 'e': 0.8265651079747222}",20,0,-64.10661625853656,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.2, 'e': 0.8224322824348486}",25,12,-56.81561708804378,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.8183201210226743}",20,0,-61.7159616090014,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.8142285204175609}",20,3,-95.45989454721987,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 1}",1
42,False,"{'a': 0.2, 'e': 0.810157377815473}",20,0,-51.26209435420462,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.8061065909263957}",25,0,-62.78247338685873,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.2, 'e': 0.8020760579717637}",25,5,-52.31365700241944,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.798065677681905}",35,16,-83.34830549907659,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 1}",1
