trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.58605227166312,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.71790156355665,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.27900854153134,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.65341979006395,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.51709474666973,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.82130831348209,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,3,-185.4029852555948,"{0: 7, 1: 5, 2: 7, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.75682604859816,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.22375780590514,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.3046073327784,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.22591315091998,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.37836848345785,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-251.20738102463898,"{0: 12, 1: 7, 2: 7, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.13747162002802,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,10,-96.1212464314658,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.57718512203614,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-40.44648804338491,"{0: 21, 1: 6, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.04211377247324,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.03060796762637,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.333903029625084,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-231.03432596484066,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.66041803734433,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.40708933826157,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.91429378921532,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.40100097511096,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.97087712566258,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.95983464410017,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.77375203062732,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.79122965147835,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.77309088842878,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
